Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.159541	0.002747	0.431263	0.049680
0.250000	1	1.502901	0.645168	2.150295	0.199632
0.500000	0	0.174971	0.012282	1.109885	0.103360
0.500000	1	1.580432	0.479414	4.133594	0.471349
0.750000	0	0.186613	0.012534	1.811408	0.153652
0.750000	1	1.627421	0.234325	3.632663	0.467778
1.000000	0	0.171341	0.009952	2.066087	0.129908
1.000000	1	1.553231	0.745137	3.763843	0.396680
1.250000	0	0.170142	0.006520	1.293332	0.093696
1.250000	1	1.550351	0.437468	2.734445	0.358681
1.500000	0	0.180141	0.023369	1.618340	0.127801
1.500000	1	1.548839	0.316046	3.206425	0.429100
1.750000	0	0.179260	0.015037	1.932412	0.121345
1.750000	1	1.622243	0.517160	2.893848	0.392636
2.000000	0	0.178631	0.006832	1.920739	0.116961
2.000000	1	1.535714	0.582386	3.393201	0.424750
2.250000	0	0.178135	0.019600	1.104075	0.104531
2.250000	1	1.532284	0.247104	2.819742	0.466141
2.500000	0	0.174450	0.013373	1.150716	0.096870
2.500000	1	1.589520	0.478968	3.325605	0.414093
2.750000	0	0.182766	0.014568	1.917041	0.135386
2.750000	1	1.591799	0.351524	3.153022	0.434508
3.000000	0	0.175901	0.027799	1.660211	0.121194
3.000000	1	1.584668	0.670780	3.496944	0.408010
3.250000	0	0.182630	0.002868	6.439465	0.258373
3.250000	1	1.559290	0.422634	5.212735	0.467430
3.500000	0	0.178712	0.014524	1.889125	0.123348
3.500000	1	1.629906	0.153905	3.176968	0.454218
3.750000	0	0.169402	0.024448	1.331685	0.084493
3.750000	1	1.624270	0.340770	3.467259	0.430042
4.000000	0	0.172257	0.003507	1.694529	0.107420
4.000000	1	1.592070	0.271719	3.509520	0.502478
4.250000	0	0.173208	0.013522	1.822993	0.105124
4.250000	1	1.523770	0.306080	3.104388	0.381306
4.500000	0	0.176886	0.022042	1.857629	0.111042
4.500000	1	1.561376	0.492324	3.435727	0.374456
4.750000	0	0.179210	0.015760	1.764765	0.122248
4.750000	1	1.507704	0.146381	2.956193	0.407750
5.000000	0	0.174490	0.032568	1.287280	0.098247
5.000000	1	1.528921	0.164568	3.267270	0.360823
5.250000	0	0.170982	0.019583	1.476991	0.093756
5.250000	1	1.640665	0.126749	3.777864	0.505117
5.500000	0	0.175662	0.016920	1.893237	0.114630
5.500000	1	1.665069	0.476434	3.322166	0.508349
5.750000	0	0.174292	0.011924	1.138981	0.104593
5.750000	1	1.584410	0.390546	3.948293	0.453019
6.000000	0	0.171860	0.012125	1.400023	0.097952
6.000000	1	1.625279	0.267399	3.096066	0.418705
6.250000	0	0.167902	0.014509	1.102097	0.084185
6.250000	1	1.529455	0.716858	2.904920	0.357225
6.500000	0	0.170082	0.018200	1.540463	0.099439
6.500000	1	1.606895	0.577593	3.976011	0.544501
6.750000	0	0.173565	0.020365	1.187031	0.094844
6.750000	1	1.566913	0.461522	3.903182	0.451994
7.000000	0	0.174509	0.017532	1.005124	0.089632
7.000000	1	1.621137	0.473716	3.455744	0.455854
7.250000	0	0.172180	0.005446	1.422852	0.098973
7.250000	1	1.486886	0.225266	2.671460	0.368405
7.500000	0	0.168494	0.009901	0.795553	0.072429
7.500000	1	1.517386	0.194802	3.172809	0.504106
7.750000	0	0.174521	0.003704	1.138912	0.101304
7.750000	1	1.627194	0.243734	3.771829	0.573974
8.000000	0	0.183837	0.021062	2.726815	0.147288
8.000000	1	1.537707	0.501672	3.077905	0.409840
8.250000	0	0.175412	0.014253	1.182172	0.107577
8.250000	1	1.584334	0.506690	3.674932	0.398398
8.500000	0	0.169101	0.010107	1.190398	0.090947
8.500000	1	1.584766	0.934840	2.957714	0.331067
8.750000	0	0.162675	0.023188	1.095357	0.071918
8.750000	1	1.607016	0.259484	3.772611	0.420406
9.000000	0	0.168999	0.015794	1.666495	0.092935
9.000000	1	1.620550	0.321025	3.756840	0.492467
9.250000	0	0.164569	0.006780	1.295777	0.087359
9.250000	1	1.544905	0.158291	2.753525	0.347517
9.500000	0	0.174169	0.012215	1.271904	0.097168
9.500000	1	1.669583	0.189225	4.078059	0.563722
9.750000	0	0.177836	0.006280	1.457218	0.121534
9.750000	1	1.579721	0.325709	2.844630	0.446107
10.000000	0	0.171513	0.013941	1.347953	0.096552
10.000000	1	1.547711	0.445680	3.120323	0.423916
10.250000	0	0.172220	0.004520	1.458111	0.090178
10.250000	1	1.557358	0.290757	3.187151	0.420347
10.500000	0	0.172703	0.015832	1.152560	0.086460
10.500000	1	1.530899	0.621113	2.705380	0.347546
10.750000	0	0.176227	0.020234	1.146875	0.097117
10.750000	1	1.584353	0.523034	3.763395	0.469164
11.000000	0	0.172228	0.014435	1.168115	0.088570
11.000000	1	1.636117	0.750122	3.271473	0.420407
11.250000	0	0.177421	0.017474	1.468270	0.107163
11.250000	1	1.603318	0.398976	3.190134	0.400228
11.500000	0	0.163957	0.018613	1.342942	0.083193
11.500000	1	1.502108	0.479787	3.226646	0.387263
11.750000	0	0.174598	0.018181	0.971590	0.088940
11.750000	1	1.567021	0.585174	4.634385	0.490186
12.000000	0	0.173375	0.018938	1.252115	0.092493
12.000000	1	1.562591	0.732733	3.471045	0.392194
12.250000	0	0.167792	0.014724	1.357127	0.081152
12.250000	1	1.628934	0.212188	3.521846	0.443922
12.500000	0	0.170160	0.022636	1.050425	0.090506
12.500000	1	1.578324	0.491858	3.638985	0.408271
12.750000	0	0.164310	0.026234	0.830204	0.071382
12.750000	1	1.558913	0.597866	3.359674	0.379012
13.000000	0	0.168883	0.014892	0.981476	0.081707
13.000000	1	1.570954	0.306241	3.451266	0.488356
13.250000	0	0.172530	0.015506	0.861158	0.086496
13.250000	1	1.541302	0.671115	2.728566	0.333034
13.500000	0	0.168818	0.026629	1.761715	0.087127
13.500000	1	1.598416	0.171637	4.423220	0.510876
13.750000	0	0.166585	0.009119	1.286493	0.088733
13.750000	1	1.613288	0.430522	3.679150	0.507044
14.000000	0	0.171276	0.021184	1.215514	0.098226
14.000000	1	1.591822	0.121704	3.235586	0.562042
14.250000	0	0.171755	0.013941	1.412994	0.107184
14.250000	1	1.618246	0.296900	3.743839	0.557361
14.500000	0	0.175777	0.027484	1.375251	0.112350
14.500000	1	1.602624	0.172578	3.900972	0.459445
14.750000	0	0.170730	0.005464	1.237390	0.091619
14.750000	1	1.561518	0.269795	4.843593	0.493302
15.000000	0	0.177200	0.035088	2.167892	0.127143
15.000000	1	1.597118	0.296828	2.975407	0.418992
15.250000	0	0.171604	0.023151	0.955539	0.085551
15.250000	1	1.530480	0.245270	2.949273	0.450217
15.500000	0	0.178449	0.008986	1.759187	0.120471
15.500000	1	1.544500	0.082527	3.222363	0.440360
15.750000	0	0.168011	0.033226	1.498162	0.104069
15.750000	1	1.577176	0.138174	2.588052	0.362727
16.000000	0	0.168867	0.045753	1.133874	0.071279
16.000000	1	1.544644	0.636538	2.600238	0.325983
16.250000	0	0.166821	0.015770	1.089034	0.078757
16.250000	1	1.559841	0.177834	3.096552	0.395619
16.500000	0	0.172500	0.021319	1.205077	0.098464
16.500000	1	1.609097	0.239880	3.045588	0.436231
16.750000	0	0.170430	0.021431	0.984885	0.084185
16.750000	1	1.520307	0.071241	3.789682	0.442798
17.000000	0	0.165501	0.033433	1.543487	0.084907
17.000000	1	1.595471	0.173699	2.936222	0.389402
17.250000	0	0.170918	0.020298	1.350722	0.093910
17.250000	1	1.539283	0.591452	3.148264	0.392811
17.500000	0	0.167832	0.022126	1.079759	0.076122
17.500000	1	1.634076	0.645969	3.991346	0.499650
17.750000	0	0.173127	0.026301	2.411923	0.131927
17.750000	1	1.585042	0.275171	3.044149	0.514082
18.000000	0	0.167619	0.025685	0.896237	0.076956
18.000000	1	1.595391	0.306273	5.486051	0.644088
18.250000	0	0.168009	0.025623	1.326047	0.090836
18.250000	1	1.596119	0.338298	4.271564	0.479399
18.500000	0	0.166474	0.027461	0.834674	0.074477
18.500000	1	1.575093	0.800675	2.862319	0.339122
18.750000	0	0.167220	0.009754	1.428434	0.081783
18.750000	1	1.631244	0.298307	4.536904	0.549850
19.000000	0	0.167938	0.011170	1.002309	0.086778
19.000000	1	1.553295	0.565944	3.375615	0.364856
19.250000	0	0.165761	0.023585	0.803141	0.070185
19.250000	1	1.515862	0.132138	3.953623	0.435361
19.500000	0	0.165089	0.005388	0.947630	0.071112
19.500000	1	1.534211	0.631198	2.489713	0.371567
19.750000	0	0.168069	0.015213	1.171306	0.083359
19.750000	1	1.570067	0.441034	2.668236	0.401710
20.000000	0	0.176414	0.018097	2.266069	0.115544
20.000000	1	1.562438	0.173953	2.988833	0.454083
20.250000	0	0.177399	0.004328	1.241522	0.099223
20.250000	1	1.622118	0.162988	3.297540	0.527198
20.500000	0	0.169822	0.016150	1.099510	0.095120
20.500000	1	1.505605	0.304366	2.441551	0.345993
20.750000	0	0.171957	0.016295	1.247068	0.088048
20.750000	1	1.604741	0.255990	4.481311	0.484080
21.000000	0	0.171240	0.012634	1.208130	0.091728
21.000000	1	1.537032	0.427846	3.397537	0.405125
21.250000	0	0.169516	0.006308	1.403717	0.102677
21.250000	1	1.624000	0.442422	3.501243	0.436990
21.500000	0	0.169205	0.002709	0.919771	0.078089
21.500000	1	1.607686	0.372461	5.193691	0.623206
21.750000	0	0.171936	0.007163	1.462020	0.105531
21.750000	1	1.581176	0.345194	2.913460	0.375746
22.000000	0	0.168211	0.016019	0.942458	0.080528
22.000000	1	1.537263	0.394340	3.021588	0.354087
22.250000	0	0.166006	0.029417	0.918922	0.069496
22.250000	1	1.573398	0.192545	3.036722	0.394243
22.500000	0	0.167198	0.008611	1.419959	0.093759
22.500000	1	1.548456	0.803549	3.009446	0.373906
22.750000	0	0.167334	0.015892	0.941302	0.076120
22.750000	1	1.520940	0.444827	2.934710	0.385497
23.000000	0	0.168808	0.016869	1.278291	0.090268
23.000000	1	1.599127	0.451248	3.353696	0.466342
23.250000	0	0.173875	0.007192	1.131472	0.096986
23.250000	1	1.507519	0.237995	2.542377	0.369855
23.500000	0	0.171841	0.013469	1.238590	0.090900
23.500000	1	1.583190	0.071902	4.230674	0.598662
23.750000	0	0.172258	0.021585	1.535593	0.101539
23.750000	1	1.496572	0.468711	2.441389	0.317192
24.000000	0	0.172856	0.027607	0.963907	0.082878
24.000000	1	1.534384	0.039896	3.369252	0.442567
24.250000	0	0.173614	0.023550	1.363364	0.097139
24.250000	1	1.584284	0.127126	3.516938	0.518156
24.500000	0	0.167492	0.025287	1.082691	0.077482
24.500000	1	1.607537	0.165005	3.664297	0.431996
24.750000	0	0.170807	0.013450	1.489038	0.095347
24.750000	1	1.538429	0.443610	2.840888	0.432693
25.000000	0	0.166633	0.011293	1.000070	0.072476
25.000000	1	1.612871	0.091772	3.458699	0.548722
25.250000	0	0.176115	0.013626	1.515085	0.102467
25.250000	1	1.771396	0.331630	7.772934	0.869716
25.500000	0	0.167761	0.025191	1.015949	0.077842
25.500000	1	1.614151	0.457609	3.614194	0.489443
25.750000	0	0.172713	0.011401	1.146743	0.093362
25.750000	1	1.637777	0.352080	4.261443	0.536475
26.000000	0	0.168448	0.011127	1.290691	0.088563
26.000000	1	1.549509	0.207493	3.060861	0.375327
26.250000	0	0.167027	0.027672	0.861465	0.074626
26.250000	1	1.681637	0.398135	7.729860	0.779865
26.500000	0	0.168248	0.017675	1.186687	0.079334
26.500000	1	1.612594	0.334916	3.396462	0.491605
26.750000	0	0.170478	0.006745	1.225286	0.099808
26.750000	1	1.635133	0.571484	3.228000	0.500290
27.000000	0	0.171889	0.005691	1.213790	0.093198
27.000000	1	1.503696	0.110504	3.144993	0.428686
27.250000	0	0.167834	0.007097	1.037377	0.076993
27.250000	1	1.647768	0.261126	3.639535	0.534724
27.500000	0	0.164179	0.008588	1.220428	0.082633
27.500000	1	1.593472	0.210796	3.250036	0.422899
27.750000	0	0.161767	0.006214	0.919482	0.064811
27.750000	1	1.552487	0.474518	2.382630	0.335619
28.000000	0	0.160491	0.013796	0.756228	0.054146
28.000000	1	1.602319	0.202939	3.664614	0.451202
28.250000	0	0.168011	0.012742	1.280136	0.079968
28.250000	1	1.613848	0.495345	3.859823	0.479306
28.500000	0	0.169013	0.011869	1.275007	0.100167
28.500000	1	1.583894	0.577979	2.955699	0.370745
28.750000	0	0.161818	0.007220	0.849140	0.066493
28.750000	1	1.578079	0.369906	2.422498	0.347029
29.000000	0	0.165434	0.009925	1.384763	0.085359
29.000000	1	1.554517	0.450747	2.885546	0.371020
29.250000	0	0.164532	0.020558	0.567201	0.061400
29.250000	1	1.578949	0.855408	3.260804	0.317660
29.500000	0	0.171417	0.012557	2.043666	0.108832
29.500000	1	1.602885	0.289095	4.353528	0.472401
29.750000	0	0.166100	0.006078	1.613790	0.084322
29.750000	1	1.587375	0.477931	3.213193	0.371999
30.000000	0	0.166310	0.028195	1.457329	0.078602
30.000000	1	1.519513	0.233065	3.372906	0.394492
30.250000	0	0.164524	0.012137	0.838055	0.069353
30.250000	1	1.512548	0.199017	3.170894	0.442179
30.500000	0	0.170123	0.006860	1.140369	0.092812
30.500000	1	1.568098	0.254593	4.502434	0.561990
30.750000	0	0.172618	0.023983	1.474548	0.101839
30.750000	1	1.572434	0.349866	3.173765	0.441609
31.000000	0	0.167628	0.026377	0.876109	0.073774
31.000000	1	1.607877	0.440837	2.950347	0.500091
31.250000	0	0.174857	0.020418	2.245117	0.132789
31.250000	1	1.574671	0.510528	2.914549	0.381105
31.500000	0	0.168559	0.021053	1.167138	0.070904
31.500000	1	1.640764	0.706438	3.869643	0.417348
31.750000	0	0.165235	0.009620	1.272487	0.081557
31.750000	1	1.569231	0.338650	2.985430	0.369872
32.000000	0	0.164834	0.009617	0.970079	0.071134
32.000000	1	1.568070	0.218482	2.589752	0.366158
32.250000	0	0.166028	0.020823	0.900767	0.074379
32.250000	1	1.575124	0.722769	2.954400	0.393927
32.500000	0	0.170353	0.025316	1.019328	0.086563
32.500000	1	1.583639	0.414290	3.371067	0.439054
32.750000	0	0.170308	0.004002	1.057415	0.085944
32.750000	1	1.590300	0.748315	3.508154	0.467713
33.000000	0	0.170820	0.032897	1.370829	0.088930
33.000000	1	1.615230	0.655931	4.066230	0.474751
33.250000	0	0.164382	0.021480	0.701533	0.059949
33.250000	1	1.572764	0.847631	4.432418	0.472440
33.500000	0	0.172450	0.014808	1.187361	0.091378
33.500000	1	1.555946	0.528230	2.806875	0.399570
33.750000	0	0.165815	0.006783	0.736140	0.061310
33.750000	1	1.552469	0.188249	3.267035	0.418505
34.000000	0	0.165683	0.019443	1.138814	0.085961
34.000000	1	1.539308	0.475944	2.877993	0.358159
34.250000	0	0.168472	0.014939	1.486261	0.097320
34.250000	1	1.512666	0.469358	3.374476	0.404995
34.500000	0	0.167613	0.009814	1.821788	0.086374
34.500000	1	1.675508	0.343977	4.021569	0.596293
34.750000	0	0.167499	0.015727	0.918448	0.071116
34.750000	1	1.614378	0.510477	3.752434	0.405848
35.000000	0	0.168168	0.013955	1.428922	0.093809
35.000000	1	1.544831	0.581635	2.491696	0.345721
35.250000	0	0.168007	0.011711	1.976339	0.104726
35.250000	1	1.570392	0.371277	3.812936	0.490820
35.500000	0	0.164176	0.016921	1.020317	0.075424
35.500000	1	1.559475	0.629814	2.747189	0.371495
35.750000	0	0.168499	0.032579	1.524931	0.093109
35.750000	1	1.647734	0.801379	3.907735	0.479401
36.000000	0	0.163505	0.008692	0.750415	0.059931
36.000000	1	1.567219	0.555728	3.282385	0.444184
36.250000	0	0.168256	0.003226	1.471103	0.083170
36.250000	1	1.574790	0.635437	3.165971	0.358424
36.500000	0	0.167560	0.039214	1.067794	0.079049
36.500000	1	1.605541	0.538498	3.444720	0.483264
36.750000	0	0.171812	0.043198	1.303251	0.098774
36.750000	1	1.547838	0.242732	2.731904	0.400427
37.000000	0	0.166379	0.022860	0.784054	0.074176
37.000000	1	1.544615	0.456312	3.236214	0.412581
37.250000	0	0.162439	0.015142	1.113489	0.065199
37.250000	1	1.516740	0.527066	3.413231	0.388975
37.500000	0	0.165187	0.015739	1.897792	0.087582
37.500000	1	1.586925	0.243967	4.144090	0.502029
37.750000	0	0.166444	0.015941	0.958531	0.072610
37.750000	1	1.661959	0.319425	5.831214	0.572795
38.000000	0	0.165306	0.007872	1.134301	0.075067
38.000000	1	1.546727	0.220093	3.041079	0.461491
38.250000	0	0.163137	0.004106	0.981486	0.073676
38.250000	1	1.521073	0.217494	3.472439	0.465704
38.500000	0	0.167707	0.017510	1.570200	0.090779
38.500000	1	1.524348	0.162396	3.140857	0.442639
38.750000	0	0.164333	0.022312	0.621443	0.060706
38.750000	1	1.540643	0.352335	2.755861	0.410414
39.000000	0	0.168117	0.011801	1.264992	0.094685
39.000000	1	1.552790	0.388040	3.176421	0.405828
39.250000	0	0.165992	0.026354	1.267904	0.076152
39.250000	1	1.541074	0.156835	2.973699	0.407848
39.500000	0	0.165311	0.031547	1.251643	0.077948
39.500000	1	1.561080	0.708737	2.881580	0.377053
39.750000	0	0.169327	0.018158	1.255723	0.087127
39.750000	1	1.513174	0.410523	3.197567	0.428912
40.000000	0	0.172590	0.034403	1.718120	0.099969
40.000000	1	1.601317	0.487692	3.453882	0.494974
40.250000	0	0.166741	0.014101	1.320973	0.080661
40.250000	1	1.566059	0.099033	3.216344	0.448177
40.500000	0	0.166593	0.004193	1.498851	0.087143
40.500000	1	1.591652	0.201271	2.948238	0.435298
