Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.120252	0.004095	0.423237	0.043827
0.250000	1	1.414315	1.111180	1.699665	0.130545
0.500000	0	0.125645	0.017570	0.706183	0.056350
0.500000	1	1.409570	0.998727	2.033998	0.163257
0.750000	0	0.132142	0.011791	1.144853	0.087086
0.750000	1	1.468337	0.993363	2.328847	0.235139
1.000000	0	0.128212	0.012236	0.963133	0.068386
1.000000	1	1.420980	0.441261	2.154602	0.220266
1.250000	0	0.130882	0.006414	1.511415	0.094811
1.250000	1	1.352650	0.478178	1.981486	0.245755
1.500000	0	0.137846	0.008755	2.367799	0.120064
1.500000	1	1.406979	0.329357	2.734951	0.312564
1.750000	0	0.132604	0.009268	1.189685	0.084825
1.750000	1	1.429981	0.308668	2.315893	0.325340
2.000000	0	0.131566	0.021331	1.030199	0.073269
2.000000	1	1.420994	0.539802	2.749046	0.320396
2.250000	0	0.131798	0.008320	1.053519	0.075759
2.250000	1	1.489001	0.669345	3.252064	0.354124
2.500000	0	0.133674	0.006137	1.561608	0.098790
2.500000	1	1.406762	0.720708	2.773039	0.265551
2.750000	0	0.135054	0.025100	1.028210	0.087284
2.750000	1	1.420813	0.637853	2.800147	0.308602
3.000000	0	0.129910	0.005432	0.975418	0.077446
3.000000	1	1.439093	0.272825	2.817237	0.300905
3.250000	0	0.125544	0.006812	0.835678	0.061057
3.250000	1	1.452666	0.366476	2.230508	0.284563
3.500000	0	0.130219	0.008878	0.675442	0.065270
3.500000	1	1.431058	0.730414	2.122843	0.209041
3.750000	0	0.125207	0.021779	0.773832	0.062108
3.750000	1	1.417339	0.766963	2.302303	0.213579
4.000000	0	0.124859	0.010612	0.665326	0.061322
4.000000	1	1.430510	0.409211	2.809186	0.303271
4.250000	0	0.126172	0.005386	0.757943	0.058056
4.250000	1	1.416098	0.784476	2.802909	0.256145
4.500000	0	0.128374	0.005570	0.864495	0.064690
4.500000	1	1.399344	0.573118	2.060426	0.273392
4.750000	0	0.130217	0.005826	0.933241	0.074491
4.750000	1	1.414599	0.449503	2.851650	0.311968
5.000000	0	0.130612	0.012152	1.449571	0.087160
5.000000	1	1.449861	0.767401	2.661176	0.310034
5.250000	0	0.126780	0.013870	1.132818	0.065319
5.250000	1	1.421828	0.503993	2.587771	0.308912
5.500000	0	0.123476	0.020259	0.755227	0.054141
