Time	Cell_type	Mean	Min	Max	Std
13.000000	0	0.073122	0.003867	0.805861	0.069984
13.000000	1	1.205212	0.249241	2.214381	0.241311
13.250000	0	0.070713	0.005206	0.516041	0.048530
13.250000	1	1.260500	0.584928	2.117174	0.260858
13.500000	0	0.070485	0.004710	0.440969	0.044882
13.500000	1	1.196269	0.480533	1.804588	0.210189
13.750000	0	0.071855	0.008631	0.375413	0.049688
13.750000	1	1.233498	0.469429	2.411963	0.298295
14.000000	0	0.073067	0.004187	0.906547	0.063404
14.000000	1	1.241535	0.274284	1.829937	0.225915
14.250000	0	0.070636	0.002168	0.805134	0.055054
14.250000	1	1.231581	0.373974	3.016440	0.291822
14.500000	0	0.070334	0.003617	0.573717	0.049283
14.500000	1	1.237202	0.614535	3.159450	0.311388
14.750000	0	0.067809	0.006286	0.406636	0.044262
14.750000	1	1.207522	0.205667	2.298018	0.268376
15.000000	0	0.073436	0.008825	0.654417	0.055945
15.000000	1	1.218044	0.323922	2.007226	0.248748
15.250000	0	0.071692	0.007846	0.667457	0.056028
15.250000	1	1.217258	0.108300	1.919085	0.231169
15.500000	0	0.071109	0.006552	0.711842	0.058731
15.500000	1	1.264200	0.482787	2.789383	0.320002
15.750000	0	0.073898	0.011146	0.775205	0.064825
15.750000	1	1.293043	0.338438	2.944602	0.358108
16.000000	0	0.071443	0.003206	0.600373	0.056687
16.000000	1	1.220882	0.090988	1.800606	0.227720
16.250000	0	0.070541	0.009762	0.534087	0.052800
16.250000	1	1.260012	0.510661	3.296739	0.324918
16.500000	0	0.069758	0.005446	0.707519	0.050435
16.500000	1	1.211581	0.104181	1.929203	0.241489
16.750000	0	0.070011	0.008761	0.559068	0.054268
16.750000	1	1.249296	0.681247	1.971026	0.258916
17.000000	0	0.067929	0.002221	0.353039	0.040872
17.000000	1	1.205431	0.588413	2.395335	0.231765
17.250000	0	0.071100	0.002422	0.498361	0.055817
17.250000	1	1.229024	0.232659	2.242519	0.290264
17.500000	0	0.073343	0.009669	0.793359	0.058419
17.500000	1	1.229899	0.480110	2.730157	0.302593
17.750000	0	0.071801	0.001717	0.692255	0.058340
17.750000	1	1.216959	0.650290	1.846368	0.230846
18.000000	0	0.068097	0.006108	0.616491	0.051921
18.000000	1	1.248804	0.542595	2.417144	0.272305
18.250000	0	0.067555	0.004928	0.336163	0.043029
18.250000	1	1.201914	0.398198	3.837235	0.346404
18.500000	0	0.069477	0.007407	0.674755	0.054320
18.500000	1	1.259696	0.533727	2.322876	0.275690
18.750000	0	0.070177	0.001675	0.473897	0.048575
18.750000	1	1.253474	0.298810	2.124048	0.280145
19.000000	0	0.070492	0.012566	0.551492	0.049537
19.000000	1	1.261144	0.454603	2.102599	0.276470
19.250000	0	0.066766	0.000789	0.496254	0.041661
19.250000	1	1.193612	0.303413	1.863032	0.250988
19.500000	0	0.069761	0.004845	0.435831	0.047375
19.500000	1	1.253845	0.277771	2.359683	0.290989
19.750000	0	0.066732	0.003394	0.355118	0.040513
19.750000	1	1.255077	0.687681	3.015160	0.287408
20.000000	0	0.069536	0.003538	0.536083	0.049487
20.000000	1	1.217186	0.526823	2.147839	0.252865
20.250000	0	0.067939	0.007569	0.695206	0.053035
20.250000	1	1.166966	0.369068	2.416207	0.258744
20.500000	0	0.067535	0.005003	0.571900	0.050994
20.500000	1	1.220704	0.099596	2.080170	0.258351
20.750000	0	0.071843	0.003188	0.726695	0.059885
20.750000	1	1.238775	0.453807	2.693600	0.299787
21.000000	0	0.064717	0.006810	0.371158	0.039452
21.000000	1	1.194266	0.424795	2.272673	0.260420
21.250000	0	0.068109	0.004242	0.693746	0.049200
21.250000	1	1.280118	0.551348	4.048060	0.387800
21.500000	0	0.068421	0.002284	0.481141	0.044906
21.500000	1	1.256751	0.582177	2.750846	0.302764
21.750000	0	0.068185	0.002426	0.337670	0.041317
21.750000	1	1.298841	0.314845	2.409539	0.317210
22.000000	0	0.068899	0.007792	0.363524	0.044214
22.000000	1	1.270001	0.243303	2.017903	0.272295
22.250000	0	0.069414	0.003218	0.454780	0.047708
22.250000	1	1.201105	0.688590	1.880375	0.215843
