Time	Cell_type	Mean	Min	Max	Std
13.000000	0	0.092765	0.014133	0.719969	0.060237
13.000000	1	1.318460	0.578397	2.069362	0.262013
13.250000	0	0.092439	0.005057	1.898771	0.086748
13.250000	1	1.377567	0.459077	2.282206	0.276460
13.500000	0	0.091170	0.010803	0.582542	0.055960
13.500000	1	1.322576	0.626473	1.937840	0.192263
13.750000	0	0.089949	0.016751	0.474643	0.052403
13.750000	1	1.333264	0.414734	2.413628	0.292779
14.000000	0	0.089360	0.005258	0.500344	0.052917
14.000000	1	1.349704	0.652665	2.391959	0.272965
14.250000	0	0.087517	0.006399	0.574955	0.047276
14.250000	1	1.300146	0.417360	2.174419	0.263223
14.500000	0	0.089546	0.005966	0.398253	0.051691
14.500000	1	1.358415	0.670787	2.684667	0.285819
14.750000	0	0.087316	0.002509	0.424901	0.052854
14.750000	1	1.303575	0.360640	2.252994	0.287980
15.000000	0	0.089951	0.011061	0.530110	0.055462
15.000000	1	1.293760	0.277903	2.609375	0.306554
15.250000	0	0.091319	0.003935	0.640542	0.054032
15.250000	1	1.394286	0.516654	7.064987	0.643234
15.500000	0	0.087544	0.001206	0.887048	0.064500
15.500000	1	1.390532	0.143729	2.662216	0.370962
15.750000	0	0.093781	0.012233	0.630483	0.060649
15.750000	1	1.315836	0.509912	2.027496	0.265199
16.000000	0	0.089211	0.006318	0.467977	0.049875
16.000000	1	1.345811	0.889089	2.362322	0.255472
16.250000	0	0.088797	0.005302	0.975507	0.060353
16.250000	1	1.374611	0.708130	3.357216	0.319123
16.500000	0	0.090847	0.015299	0.533606	0.056555
16.500000	1	1.334686	0.711145	2.257014	0.259051
16.750000	0	0.089171	0.006974	0.454343	0.052518
16.750000	1	1.351583	0.680861	3.024008	0.274392
17.000000	0	0.087321	0.009343	0.454576	0.048909
17.000000	1	1.379344	0.567610	2.875013	0.305271
17.250000	0	0.087100	0.010336	0.488763	0.048796
17.250000	1	1.343806	0.713211	2.211126	0.259086
17.500000	0	0.090015	0.005232	0.856149	0.061815
17.500000	1	1.303676	0.423546	2.366831	0.289782
17.750000	0	0.088352	0.003791	0.487662	0.050766
17.750000	1	1.322651	0.474901	2.203132	0.268480
18.000000	0	0.089487	0.005452	0.450170	0.051026
18.000000	1	1.305915	0.229021	2.475646	0.278170
18.250000	0	0.089186	0.007774	0.495485	0.053442
18.250000	1	1.333658	0.147094	2.417594	0.334877
18.500000	0	0.090034	0.009860	0.566339	0.055520
18.500000	1	1.441242	0.252386	8.479703	0.907920
18.750000	0	0.091242	0.007149	0.859524	0.066058
18.750000	1	1.283495	0.497734	2.718085	0.301143
19.000000	0	0.091853	0.007326	0.655580	0.062512
19.000000	1	1.359673	0.632795	2.223939	0.282401
19.250000	0	0.089561	0.002593	0.790803	0.058832
19.250000	1	1.292787	0.307692	1.950927	0.241598
19.500000	0	0.092376	0.006658	0.817083	0.064628
19.500000	1	1.363939	0.502073	3.807524	0.439678
19.750000	0	0.087933	0.005653	1.258354	0.066583
19.750000	1	1.373258	0.557212	2.644779	0.303570
20.000000	0	0.087855	0.014969	0.897995	0.055810
20.000000	1	1.388193	0.756137	3.079822	0.346623
20.250000	0	0.086244	0.008448	0.348593	0.042825
20.250000	1	1.278308	0.165483	2.429318	0.279162
20.500000	0	0.086520	0.011799	0.646761	0.057822
20.500000	1	1.338505	0.797938	2.253542	0.247029
20.750000	0	0.090490	0.006678	0.610154	0.058071
20.750000	1	1.325503	0.331223	2.472692	0.330549
21.000000	0	0.091102	0.012884	0.414306	0.050672
21.000000	1	1.293058	0.718062	2.625688	0.277952
21.250000	0	0.088683	0.003567	0.633095	0.055349
21.250000	1	1.354977	0.414695	2.197320	0.301156
21.500000	0	0.092967	0.012631	0.934887	0.060344
21.500000	1	1.351284	0.280545	2.408838	0.331383
21.750000	0	0.087504	0.006649	0.687471	0.052137
21.750000	1	1.432158	0.857432	4.769835	0.456544
22.000000	0	0.086094	0.004710	0.547424	0.046293
22.000000	1	1.340433	0.507339	2.300804	0.265896
22.250000	0	0.086836	0.004542	0.540041	0.045123
22.250000	1	1.332426	0.642779	2.143851	0.270275
22.500000	0	0.086441	0.011956	0.434346	0.046044
22.500000	1	1.299526	0.534697	2.385074	0.271772
22.750000	0	0.087321	0.008600	0.446650	0.049090
