Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.088738	0.005171	0.532421	0.066370
0.250000	1	1.216161	0.727431	1.603321	0.170151
0.500000	0	0.088530	0.007001	0.627586	0.067612
0.500000	1	1.222476	0.751555	1.870218	0.240015
0.750000	0	0.090437	0.001959	0.844052	0.078580
0.750000	1	1.251540	0.249435	1.926667	0.257327
1.000000	0	0.089254	0.001797	1.518052	0.082622
1.000000	1	1.249392	0.298988	3.563820	0.383874
1.250000	0	0.087313	0.006706	0.603386	0.070944
1.250000	1	1.228569	0.476175	1.831450	0.248921
1.500000	0	0.089721	0.002884	0.734832	0.072836
1.500000	1	1.249252	0.297981	2.237786	0.277270
1.750000	0	0.088059	0.011986	0.846855	0.070567
1.750000	1	1.291052	0.524640	1.979877	0.243480
2.000000	0	0.083748	0.002519	0.655638	0.062517
2.000000	1	1.219663	0.140666	2.287846	0.265608
2.250000	0	0.084801	0.003974	0.822574	0.066874
2.250000	1	1.234788	0.587111	2.423542	0.253229
2.500000	0	0.083869	0.005990	0.909089	0.066508
2.500000	1	1.228927	0.514607	2.477897	0.291106
2.750000	0	0.083891	0.012316	1.165850	0.073346
2.750000	1	1.240742	0.355000	2.737334	0.333889
3.000000	0	0.085143	0.006491	0.817426	0.067856
3.000000	1	1.232344	0.302898	2.320315	0.335091
3.250000	0	0.082762	0.004215	1.522323	0.077429
3.250000	1	1.259413	0.512132	2.913035	0.316236
3.500000	0	0.083717	0.005833	0.789770	0.061715
3.500000	1	1.210579	0.300171	2.046844	0.280540
3.750000	0	0.081044	0.004361	1.105260	0.068322
3.750000	1	1.205463	0.309633	2.038300	0.269974
4.000000	0	0.082680	0.004066	0.468660	0.052761
4.000000	1	1.275504	0.688930	2.778565	0.305854
4.250000	0	0.080959	0.007435	0.767846	0.058107
4.250000	1	1.247652	0.490945	2.241573	0.248692
4.500000	0	0.080735	0.009574	0.579829	0.053904
4.500000	1	1.258012	0.664476	1.914834	0.226734
4.750000	0	0.080442	0.004612	0.601342	0.056578
4.750000	1	1.244144	0.300244	2.056141	0.275751
5.000000	0	0.078554	0.003951	0.671998	0.052325
5.000000	1	1.232872	0.453192	1.848492	0.237196
5.250000	0	0.078974	0.004792	0.529167	0.052160
5.250000	1	1.214740	0.466706	1.912871	0.217279
5.500000	0	0.079029	0.002325	0.615496	0.053867
5.500000	1	1.227766	0.503020	2.284359	0.265617
5.750000	0	0.079336	0.009484	1.231881	0.063750
5.750000	1	1.263621	0.569332	2.671258	0.305488
6.000000	0	0.079288	0.006930	0.665240	0.055027
6.000000	1	1.253002	0.543922	2.284256	0.256748
6.250000	0	0.080247	0.005528	0.741871	0.057973
