Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.123327	0.009876	0.559094	0.066126
0.250000	1	1.324353	0.908633	1.737997	0.179794
0.500000	0	0.129558	0.007725	1.057730	0.091456
0.500000	1	1.336750	0.440087	2.293104	0.278037
0.750000	0	0.129627	0.013335	1.111302	0.086039
0.750000	1	1.389754	0.309532	2.238301	0.341396
1.000000	0	0.127434	0.017529	0.777251	0.080595
1.000000	1	1.339673	0.442595	2.661589	0.328238
1.250000	0	0.125507	0.008859	0.793094	0.078025
1.250000	1	1.282400	0.567755	2.438509	0.294916
1.500000	0	0.135450	0.014524	2.233187	0.112467
1.500000	1	1.360020	0.305370	3.022675	0.452691
1.750000	0	0.131597	0.018667	0.865389	0.092381
1.750000	1	1.435915	0.406377	2.874696	0.423958
2.000000	0	0.130682	0.006384	0.958194	0.081812
2.000000	1	1.360854	0.101757	2.992684	0.381724
2.250000	0	0.130207	0.002870	1.098374	0.087851
2.250000	1	1.451777	0.200195	7.286127	0.840543
2.500000	0	0.131925	0.011818	2.330399	0.130654
2.500000	1	1.405768	0.392812	3.835802	0.516882
2.750000	0	0.127688	0.012781	1.008446	0.083510
2.750000	1	1.337247	0.352437	3.069905	0.434131
3.000000	0	0.125032	0.008202	2.329319	0.107142
3.000000	1	1.332079	0.570472	2.330757	0.325748
3.250000	0	0.129251	0.012125	1.041310	0.086303
3.250000	1	1.362564	0.420053	2.528960	0.360352
3.500000	0	0.120616	0.000811	0.721267	0.062318
3.500000	1	1.370147	0.713454	2.391826	0.285054
3.750000	0	0.129972	0.008134	1.487524	0.099171
3.750000	1	1.338756	0.065689	2.135454	0.340449
4.000000	0	0.123005	0.002540	0.665261	0.067306
4.000000	1	1.366449	0.366915	2.587957	0.337675
4.250000	0	0.125728	0.015930	0.708879	0.072112
4.250000	1	1.275359	0.087173	2.393692	0.331681
4.500000	0	0.120591	0.018014	1.148569	0.069912
4.500000	1	1.356412	0.231600	3.278517	0.456208
4.750000	0	0.123503	0.022849	1.170215	0.079846
4.750000	1	1.359990	0.541808	3.561559	0.380512
5.000000	0	0.122097	0.008024	0.668161	0.061403
5.000000	1	1.345315	0.590159	2.577628	0.311880
5.250000	0	0.120614	0.004988	0.787421	0.065134
5.250000	1	1.309008	0.263545	2.697787	0.321279
5.500000	0	0.122987	0.012046	1.106674	0.077385
5.500000	1	1.346041	0.402187	4.144048	0.434046
5.750000	0	0.118288	0.006874	0.610026	0.065545
5.750000	1	1.404738	0.583100	2.602349	0.350458
6.000000	0	0.119997	0.002241	0.535303	0.060022
6.000000	1	1.402517	0.304323	2.450962	0.321093
6.250000	0	0.115119	0.006383	0.816512	0.060732
6.250000	1	1.353907	0.718728	2.655160	0.308140
6.500000	0	0.119208	0.008363	0.615039	0.062169
6.500000	1	1.354460	0.080990	2.340592	0.366961
6.750000	0	0.121697	0.000972	0.608297	0.059171
6.750000	1	1.286943	0.142579	2.191860	0.347029
7.000000	0	0.118136	0.011550	0.807665	0.065862
