Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.132381	0.015590	0.467675	0.051162
0.250000	1	1.634490	0.833219	2.847998	0.259013
0.500000	0	0.151274	0.016426	1.285522	0.120237
0.500000	1	1.631008	0.605007	2.915950	0.438723
0.750000	0	0.156933	0.009451	1.862773	0.154078
0.750000	1	1.772699	0.352365	4.519663	0.598433
1.000000	0	0.146146	0.007891	1.742529	0.108401
1.000000	1	1.658601	0.803677	3.491535	0.385764
1.250000	0	0.151065	0.011165	1.510429	0.129451
1.250000	1	1.644782	0.190795	3.490988	0.466760
1.500000	0	0.156599	0.006843	1.667273	0.135235
1.500000	1	1.632919	0.295158	3.519430	0.416783
1.750000	0	0.154091	0.013017	2.123160	0.153994
1.750000	1	1.733287	0.719350	3.378756	0.416532
2.000000	0	0.154559	0.012525	1.777271	0.132094
2.000000	1	1.640179	0.148404	3.175545	0.480742
2.250000	0	0.167406	0.015917	2.755688	0.191874
2.250000	1	1.745464	0.562762	3.699513	0.500025
2.500000	0	0.150712	0.020292	2.010969	0.124885
2.500000	1	1.654364	0.536949	4.140616	0.588764
2.750000	0	0.156494	0.006606	1.701691	0.135043
2.750000	1	1.819367	0.535198	4.332193	0.588537
3.000000	0	0.159911	0.017018	1.380842	0.146328
3.000000	1	1.631925	0.501910	3.080838	0.433337
3.250000	0	0.152040	0.010211	1.600000	0.129993
3.250000	1	1.669162	0.235780	3.525780	0.476552
3.500000	0	0.151074	0.013395	1.207732	0.112990
3.500000	1	1.612150	0.408980	2.933407	0.405841
3.750000	0	0.150787	0.021330	1.273840	0.117674
3.750000	1	1.732593	0.313225	4.009967	0.559726
4.000000	0	0.150600	0.008699	1.076023	0.108349
4.000000	1	1.692928	0.600005	3.395231	0.467314
4.250000	0	0.158876	0.011099	2.379524	0.161476
4.250000	1	1.649134	0.713072	3.194040	0.417651
4.500000	0	0.146073	0.009488	1.143575	0.091099
4.500000	1	1.631368	0.261800	3.110055	0.374713
4.750000	0	0.149504	0.015098	1.667756	0.128317
4.750000	1	1.607421	0.311258	3.618752	0.489987
5.000000	0	0.147729	0.016591	1.737069	0.108010
5.000000	1	1.696273	0.642940	3.666850	0.507982
5.250000	0	0.151573	0.008456	1.412255	0.124418
