Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.156569	0.009739	0.548723	0.058877
0.250000	1	1.420118	0.980964	1.832564	0.170820
0.500000	0	0.165503	0.028326	1.690469	0.111908
0.500000	1	1.443009	0.469348	3.017606	0.357257
0.750000	0	0.165964	0.011058	1.531230	0.098514
0.750000	1	1.499158	0.366007	2.496701	0.354119
1.000000	0	0.160190	0.005259	1.174435	0.085789
1.000000	1	1.431914	0.519323	2.635341	0.318983
1.250000	0	0.162283	0.021266	1.171994	0.090757
1.250000	1	1.426285	0.598870	3.139880	0.326634
1.500000	0	0.174818	0.008214	2.145662	0.131903
1.500000	1	1.476211	0.464898	3.129284	0.456698
1.750000	0	0.167075	0.004826	1.244213	0.095985
1.750000	1	1.526594	0.382318	4.465243	0.541522
2.000000	0	0.163562	0.022949	0.908325	0.085534
2.000000	1	1.424037	0.678899	2.315934	0.271928
2.250000	0	0.161048	0.006507	0.817448	0.082452
2.250000	1	1.446343	0.307774	2.627550	0.337739
2.500000	0	0.157830	0.030658	0.952748	0.078450
2.500000	1	1.393486	0.494188	2.765959	0.353072
2.750000	0	0.161232	0.010802	0.938503	0.081846
2.750000	1	1.370088	0.373613	2.855026	0.380545
3.000000	0	0.164723	0.007246	1.658471	0.102846
3.000000	1	1.454048	0.209984	3.684764	0.461781
3.250000	0	0.163777	0.004333	0.808233	0.081763
3.250000	1	1.578501	0.452252	6.070531	0.574194
3.500000	0	0.155033	0.019799	0.741548	0.062970
3.500000	1	1.477573	0.188874	3.492287	0.466213
3.750000	0	0.165850	0.013186	1.037136	0.080764
3.750000	1	1.466852	0.558366	2.808438	0.422056
4.000000	0	0.162266	0.008382	1.185274	0.086808
4.000000	1	1.462568	0.455865	2.829750	0.359962
4.250000	0	0.161901	0.013585	1.077907	0.079815
4.250000	1	1.445734	0.420750	3.058400	0.309846
4.500000	0	0.157782	0.025855	0.879433	0.070260
4.500000	1	1.465494	0.332180	2.868963	0.369066
4.750000	0	0.162264	0.021726	0.868025	0.075741
4.750000	1	1.398338	0.084847	2.698051	0.369782
5.000000	0	0.156407	0.011425	0.733220	0.068042
5.000000	1	1.426898	0.330222	2.452864	0.348278
5.250000	0	0.160222	0.012685	0.700310	0.075473
5.250000	1	1.482889	0.546529	3.749128	0.410806
5.500000	0	0.160804	0.026697	1.339068	0.081330
5.500000	1	1.414237	0.498948	3.515027	0.345969
5.750000	0	0.158909	0.006939	1.106108	0.074961
5.750000	1	1.519250	0.386622	4.725510	0.473005
6.000000	0	0.158850	0.008702	1.269517	0.075515
6.000000	1	1.495916	0.337626	3.066113	0.385116
6.250000	0	0.155402	0.025389	0.845094	0.061565
6.250000	1	1.475469	0.381887	2.765092	0.365363
6.500000	0	0.156015	0.024624	0.810512	0.061759
6.500000	1	1.512426	0.592688	2.964427	0.415725
6.750000	0	0.159890	0.005642	1.378306	0.084572
6.750000	1	1.471029	0.273596	2.681382	0.351477
7.000000	0	0.157675	0.007400	1.351387	0.086417
7.000000	1	1.467320	0.537049	3.734259	0.395982
7.250000	0	0.154999	0.013650	1.661807	0.083432
7.250000	1	1.425632	0.548178	2.723550	0.320483
7.500000	0	0.158698	0.018712	0.807483	0.068302
7.500000	1	1.412904	0.276685	3.192427	0.381900
7.750000	0	0.159795	0.022550	1.633184	0.092362
7.750000	1	1.406509	0.195750	3.139731	0.400605
8.000000	0	0.160671	0.011390	1.274270	0.086055
8.000000	1	1.492101	0.122029	3.366492	0.469094
8.250000	0	0.160151	0.019306	1.239117	0.081959
8.250000	1	1.426556	0.660428	2.819497	0.344060
8.500000	0	0.159557	0.004299	1.392717	0.086474
8.500000	1	1.528120	0.779673	3.030001	0.419573
8.750000	0	0.155969	0.034105	0.641635	0.067976
8.750000	1	1.454892	0.240360	2.843343	0.319747
9.000000	0	0.156604	0.027180	0.925365	0.070442
9.000000	1	1.481888	0.380051	3.352751	0.407593
9.250000	0	0.158192	0.004930	1.071282	0.074409
9.250000	1	1.445045	0.242955	2.616712	0.400709
9.500000	0	0.159989	0.014116	1.250942	0.089988
9.500000	1	1.391183	0.084485	2.886215	0.400183
9.750000	0	0.156635	0.013477	0.798055	0.064333
9.750000	1	1.498469	0.336591	2.857852	0.471220
10.000000	0	0.169088	0.008423	1.297843	0.099218
10.000000	1	1.440750	0.194384	3.108996	0.384942
