Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.103744	0.018300	0.486383	0.060522
0.250000	1	1.414974	0.966972	1.735733	0.159335
0.500000	0	0.108442	0.001418	0.918508	0.077191
0.500000	1	1.414015	0.707429	2.238737	0.241556
0.750000	0	0.108359	0.016461	0.726333	0.073986
0.750000	1	1.488005	0.811603	2.717518	0.284550
1.000000	0	0.106795	0.011126	1.035651	0.074693
1.000000	1	1.433903	0.664039	3.044616	0.288366
1.250000	0	0.105973	0.013175	1.227311	0.085022
1.250000	1	1.398109	0.656956	1.959932	0.261055
1.500000	0	0.113028	0.009013	0.819541	0.080663
1.500000	1	1.446830	0.476118	2.376801	0.342089
1.750000	0	0.106833	0.010968	0.744507	0.068986
1.750000	1	1.495968	0.675986	3.098330	0.332688
2.000000	0	0.107283	0.005945	0.971932	0.077104
2.000000	1	1.392038	0.738143	2.357167	0.232241
2.250000	0	0.109105	0.014053	0.920609	0.091730
2.250000	1	1.446680	0.630989	2.606289	0.294217
2.500000	0	0.103353	0.006762	1.314234	0.075996
2.500000	1	1.406399	0.741750	3.016685	0.278174
2.750000	0	0.110570	0.013967	1.549157	0.092021
2.750000	1	1.482510	0.541750	8.431905	0.770913
3.000000	0	0.113863	0.009451	2.822517	0.137653
3.000000	1	1.440170	0.437283	4.198948	0.408731
3.250000	0	0.106141	0.008076	0.790367	0.070687
3.250000	1	1.460331	0.837868	2.276358	0.253590
3.500000	0	0.100680	0.005882	0.565687	0.059472
3.500000	1	1.387898	0.890741	2.108677	0.222329
3.750000	0	0.106679	0.008627	1.122292	0.078422
3.750000	1	1.398098	0.312552	2.596753	0.332610
4.000000	0	0.105567	0.010065	1.095880	0.077794
4.000000	1	1.440973	0.303419	2.591364	0.313341
4.250000	0	0.103322	0.002955	0.526341	0.056226
4.250000	1	1.402173	0.338954	2.052514	0.257609
4.500000	0	0.102621	0.007600	0.989011	0.066396
4.500000	1	1.481434	0.853961	2.383820	0.293076
4.750000	0	0.100548	0.020075	0.549900	0.056657
4.750000	1	1.411367	0.564632	2.407391	0.250297
5.000000	0	0.101813	0.009179	1.061831	0.073047
5.000000	1	1.446762	0.770624	2.301444	0.251301
5.250000	0	0.100156	0.005401	0.677990	0.057800
5.250000	1	1.400595	0.598475	2.185497	0.271761
5.500000	0	0.102924	0.000405	0.783319	0.067733
5.500000	1	1.364823	0.366586	2.639442	0.321203
5.750000	0	0.102737	0.000974	0.819129	0.065418
5.750000	1	1.433923	0.733023	2.159197	0.268657
6.000000	0	0.102597	0.011958	0.478044	0.056714
6.000000	1	1.438263	0.723716	2.080460	0.264686
6.250000	0	0.102877	0.014928	0.940718	0.073296
6.250000	1	1.398169	0.585351	2.005010	0.254144
6.500000	0	0.100672	0.002159	1.814977	0.087631
6.500000	1	1.427351	0.371248	3.323858	0.316128
6.750000	0	0.101518	0.007351	0.800295	0.062420
6.750000	1	1.418407	0.802929	2.207821	0.234077
7.000000	0	0.100579	0.008855	1.057722	0.065754
7.000000	1	1.446155	0.672634	2.557539	0.284224
7.250000	0	0.101284	0.009988	0.851509	0.075146
7.250000	1	1.432883	0.817292	3.336502	0.305428
7.500000	0	0.101931	0.007617	0.764700	0.065150
7.500000	1	1.438064	0.765312	2.444803	0.272556
7.750000	0	0.107018	0.003185	0.676474	0.073339
7.750000	1	1.387013	0.297339	2.606760	0.344284
8.000000	0	0.105302	0.005940	0.740155	0.071577
8.000000	1	1.497527	0.183886	8.768704	0.867961
8.250000	0	0.107179	0.002676	0.914790	0.088919
8.250000	1	1.456000	0.203568	2.793565	0.328030
8.500000	0	0.104099	0.008505	0.870010	0.072620
8.500000	1	1.469586	0.189582	2.723525	0.325982
8.750000	0	0.101275	0.015310	1.061306	0.070515
8.750000	1	1.441371	0.586739	2.185031	0.257427
9.000000	0	0.096869	0.003480	0.638393	0.050845
9.000000	1	1.448466	0.748389	2.236732	0.243080
9.250000	0	0.099792	0.011863	0.890140	0.060337
9.250000	1	1.435988	0.647453	2.950241	0.297917
9.500000	0	0.098968	0.003224	0.737322	0.057148
9.500000	1	1.396286	0.518928	2.459975	0.307690
9.750000	0	0.102926	0.009877	0.931466	0.070358
9.750000	1	1.505774	0.125369	5.110955	0.561068
10.000000	0	0.101042	0.008327	0.985364	0.067829
10.000000	1	1.463095	0.754432	4.613631	0.420516
10.250000	0	0.102871	0.003425	1.377732	0.072992
10.250000	1	1.441810	0.618151	2.202547	0.237472
10.500000	0	0.103496	0.008216	0.659274	0.060924
10.500000	1	1.401478	0.358169	2.050715	0.271073
10.750000	0	0.099557	0.001963	0.744189	0.060500
10.750000	1	1.413289	0.783001	2.222357	0.281838
11.000000	0	0.101903	0.002460	0.904849	0.066127
11.000000	1	1.459564	0.356777	2.820835	0.301599
11.250000	0	0.097661	0.002667	1.135612	0.062527
11.250000	1	1.408815	0.456540	2.147156	0.276192
11.500000	0	0.098895	0.012744	0.597872	0.054959
11.500000	1	1.470385	0.408676	2.826815	0.334014
11.750000	0	0.099763	0.003995	0.621454	0.055241
11.750000	1	1.393725	0.191052	2.630833	0.332287
12.000000	0	0.105410	0.000653	1.160930	0.079392
12.000000	1	1.418907	0.474917	2.325478	0.297826
12.250000	0	0.102892	0.003569	0.868766	0.071752
12.250000	1	1.404267	0.221878	2.357836	0.290519
12.500000	0	0.102108	0.008855	1.356814	0.071240
12.500000	1	1.447757	0.321255	3.363720	0.318674
12.750000	0	0.100969	0.009328	0.634917	0.057101
12.750000	1	1.428480	0.581405	2.377340	0.274152
13.000000	0	0.116151	0.005445	13.020224	0.484427
13.000000	1	1.530215	0.236556	14.066829	1.187300
13.250000	0	0.103250	0.006505	0.603054	0.067339
13.250000	1	1.449484	0.696472	2.782441	0.297158
13.500000	0	0.103145	0.003423	1.082448	0.070647
13.500000	1	1.427128	0.671498	2.319414	0.318594
13.750000	0	0.097621	0.008835	0.468474	0.050892
13.750000	1	1.449730	0.612890	2.384035	0.272587
14.000000	0	0.096955	0.007350	0.737374	0.054062
14.000000	1	1.451167	0.779000	2.409802	0.251201
14.250000	0	0.094799	0.012570	0.601857	0.047866
14.250000	1	1.439237	0.613892	3.672286	0.356333
14.500000	0	0.099264	0.006153	0.615605	0.058423
14.500000	1	1.417245	0.345932	2.254341	0.257292
14.750000	0	0.096626	0.020764	0.440713	0.047475
14.750000	1	1.376831	0.488939	2.262494	0.258783
15.000000	0	0.099880	0.004452	0.625479	0.056583
15.000000	1	1.414532	0.625163	2.444993	0.271775
15.250000	0	0.099107	0.016962	0.719423	0.052382
15.250000	1	1.384852	0.376980	2.385823	0.266357
15.500000	0	0.098711	0.007672	0.783839	0.058463
15.500000	1	1.433729	0.819619	2.835822	0.299856
15.750000	0	0.096759	0.002773	0.479242	0.050609
15.750000	1	1.376118	0.653036	2.446148	0.255119
16.000000	0	0.098430	0.003457	1.097960	0.068370
16.000000	1	1.449661	0.670052	2.767698	0.313893
16.250000	0	0.098125	0.006780	2.700264	0.109190
16.250000	1	1.429012	0.694319	4.579560	0.417249
16.500000	0	0.101088	0.005318	2.070778	0.092532
16.500000	1	1.439574	0.357730	2.161269	0.281371
16.750000	0	0.102532	0.012376	1.459323	0.081887
16.750000	1	1.407508	0.815873	2.143034	0.235142
17.000000	0	0.097092	0.008245	0.585865	0.050948
17.000000	1	1.433980	0.437394	2.584533	0.260876
17.250000	0	0.095972	0.001292	0.528309	0.049747
17.250000	1	1.434222	0.186504	2.529755	0.296046
17.500000	0	0.098492	0.011121	0.469315	0.048794
17.500000	1	1.403601	0.872609	2.100237	0.233493
17.750000	0	0.101141	0.003052	0.428721	0.055485
17.750000	1	1.441531	0.423393	2.824068	0.310449
18.000000	0	0.098724	0.015866	0.513962	0.056108
18.000000	1	1.459233	0.665736	2.713615	0.351333
18.250000	0	0.100985	0.010808	0.849863	0.059499
18.250000	1	1.443472	0.412536	2.106865	0.281204
18.500000	0	0.100433	0.005059	1.762382	0.097503
18.500000	1	1.465654	0.425520	4.698217	0.386226
18.750000	0	0.100060	0.004380	1.301214	0.076807
18.750000	1	1.438064	0.687621	2.367871	0.249857
19.000000	0	0.099427	0.004683	0.686578	0.058910
19.000000	1	1.431472	0.513274	2.226958	0.268980
19.250000	0	0.099197	0.007144	0.994192	0.066634
19.250000	1	1.488588	0.823454	4.864605	0.503670
19.500000	0	0.101323	0.009175	1.062066	0.071244
19.500000	1	1.447047	0.485752	3.241201	0.338850
19.750000	0	0.100555	0.003991	0.822092	0.070182
19.750000	1	1.420108	0.672071	2.298891	0.275785
20.000000	0	0.096072	0.008928	0.585389	0.050715
20.000000	1	1.456180	0.765936	2.202341	0.243231
20.250000	0	0.098488	0.013061	1.242587	0.075789
20.250000	1	1.416769	0.561591	2.136896	0.265009
20.500000	0	0.094912	0.006181	0.790321	0.065266
20.500000	1	1.409162	0.751017	2.163915	0.236692
20.750000	0	0.099367	0.016093	0.822596	0.066036
20.750000	1	1.428387	0.396826	2.351816	0.291218
21.000000	0	0.096546	0.021167	0.465115	0.048516
21.000000	1	1.419166	0.399331	3.720379	0.341734
21.250000	0	0.097785	0.009373	0.773386	0.061424
21.250000	1	1.393991	0.508076	2.259924	0.276109
21.500000	0	0.095362	0.004562	0.990140	0.056242
21.500000	1	1.477464	0.599254	2.929959	0.324140
21.750000	0	0.094856	0.005174	1.316591	0.067724
21.750000	1	1.436189	0.393805	2.869794	0.292356
22.000000	0	0.094930	0.008801	0.805203	0.052506
22.000000	1	1.429772	0.587189	2.420064	0.291152
22.250000	0	0.096060	0.007921	0.370354	0.046539
22.250000	1	1.492720	0.680430	4.559120	0.476811
22.500000	0	0.097005	0.005857	1.754893	0.078498
22.500000	1	1.442803	0.381129	2.413636	0.282201
22.750000	0	0.095810	0.004138	0.999389	0.056019
22.750000	1	1.425764	0.873822	2.673991	0.268688
23.000000	0	0.093083	0.006488	0.531717	0.044584
23.000000	1	1.412956	0.398395	2.669273	0.335429
23.250000	0	0.097705	0.005233	0.476092	0.049480
23.250000	1	1.479639	0.830988	2.672586	0.295763
23.500000	0	0.094619	0.009581	0.456514	0.049332
23.500000	1	1.429863	0.569117	2.685134	0.363866
